Start Time,End Time,Transcription
"772,52","774,52", Какво искаш да кажеш ти за това?
"774,52","778,52"," Искам да кажа, че децата понякога са големи манипулатори."
"778,52","781,52"," А нали би да кажеш, че тя ме манипулира?"
"781,52","784,52", Работите просто. Тя нега не иска да си стел.
"784,52","787,52"," Всеки път, когато Ви имате някаква идея да бъдете заедно,"
"787,52","791,52"," всеки път, когато поемате някаква инициатива, поне доколкото аз чувам,"
"791,52","793,52", всеки път тя прави нещо и...
"793,52","795,52"," Всъщност, да ти кажа, преди няколко дни,"
"796,52","800,52"," пък трябваше да излезнем и тя не се оплака, че я боли много корен."
"800,52","803,52"," И пък трябваше да остана с нея, за да ѝ обърна внимание."
"803,52","808,52"," Обедена съм, че Велина прави всички тези неща съвсем умишлено."
"808,52","812,52", Като целта ѝ е да разкара тело и сина му от живота ѝ.
"812,52","819,52"," Леляна трябва да осъзнае, че тя има главна отговорност върху живота и любовта си."
"819,52","824,52"," И трябва да се вземе в ръце, да осъзнае отговорността си в тая посок."
"824,52","826,52"," Не знам, знаеш ли какво ми е страха?"
"826,52","829,52"," Да не загубя тело, защото..."
"829,52","831,52", Трябва да направиш нещо в тая посока.
"831,52","833,52", Не може така да продължава.
"833,52","834,52", Какво да му правя?
"834,52","836,52"," Трябва да му покажеш, че ти е важен."
"836,52","839,52"," Трябва да му покажеш, че нещата между вас имат смисъл."
"839,52","842,52", Трябва да възобновиш интимността между вас по някакъв...
"842,52","845,52"," Нещо романтично трябва да направите, според мен."
"845,52","847,52", Какво ми предлагаш?
"847,52","848,52", Не...
"848,52","851,52"," Какво, вечера на свещи или..."
"851,52","852,52", Или не.
"852,52","855,52", Еди приятели ходиха на масаж скоро.
"855,52","856,52", Някакъв тело.
"856,52","857,52", Тайландски масаж.
"857,52","859,52", Много доволни мъжа и жената.
"859,52","860,52", Много доволни.
"860,52","861,52", Така имаха проблем.
"861,52","863,52"," А какво е това, тайландски масаж?"
"863,52","865,52", Като нормалния масаж.
"865,52","867,52", Лягате двамата там.
"867,52","870,52", Масажират ви по някакви специални енергийни техники.
"870,52","872,52", Етерични масла ползват.
"872,52","874,52"," Много отпускащо, много релаксиращо."
"874,52","875,52", Много така...
"875,52","877,52"," Да ти кажа, звучи добре."
"877,52","879,52"," Бихме го пробвали, това нещо."
"881,52","884,52", Идеята на Каря ми звучи много добре.
"884,52","885,52", Ще трябва да направим с тело този масаж.
"885,52","887,52", Тайландски.
"887,52","890,52"," За който тя ни каза, не искам да го загубя Теодор."
"890,52","892,52"," Защото той е мъжът, в който се влюбих."
"892,52","898,52", И ще се опитам за в бъдещите нещата да се подредат.
"898,52","901,52", Една седмица по-късно Теодор и Лиляна отиват на масаж.
"901,52","907,52"," Лиляна подарява масажа на приятеля си, за да му покаже колко много държи на него."
"907,52","909,52", Скажете ми ако ви се боли.
"909,52","910,52"," Не, няма проблем."
"910,52","912,52", Отдавна не съм се отпускал така добре.
"912,52","914,52", И аз трябва да го направим по-добре.
"914,52","916,52", Трябва да го направим по-често.
"919,52","922,52"," Ох, не си ли го изключил този телефон? Не го вдигай."
"922,52","924,52", Некои се случи нещо.
"924,52","926,52", Би ли ми подала телефона?
"930,52","931,52", Сина ти е.
"931,52","933,52"," Алло, кажи Ники."
"935,52","936,52", Какво?
"936,52","939,52", Аби ти луд ли си? Ненормален ли си?
"939,52","941,52", Как така е избягал от вкъщи?
"941,52","943,52", Защо си я заключил?
"944,52","946,52", Веднага се прибираме.
"946,52","948,52", Какво е станало сега?
"948,52","950,52", Какво е станало?
"950,52","953,52"," Дъщеря ми е избягал от вкъщи, защото сина ти я е заключил."
"953,52","956,52", Как така ще заключва детето? И то е тръгнал боса.
"956,52","959,52"," Абе, това може би е един от поредните номера на дъщеря ти."
"959,52","962,52", Ти сега защо обвиняваш дъщеря ми? Ти не виждаш ли сина ти какво е направил?
"962,52","963,52", Защо да го...
"963,52","965,52", С какво права ще я заключва?
"965,52","967,52"," Добре, не съм сигурен, но трябва да проверим."
"967,52","968,52", Не ставай да се тръгваш.
"968,52","969,52", Не съм сигурен.
"969,52","972,52", Теодор направи мебеси. Как така може да обвинява дъщеря ми?
"972,52","975,52"," Той не вижда ли сина си, че сина му не е светец?"
"975,52","979,52"," Ами сега, ако се е случило нещо лошо на дъщеря ми, къде да я търся? Какво да правя аз?"
"979,52","982,52"," Мислех, че този път ще бъде по-различно, ама не."
"982,52","987,52"," Велина винаги разбира, кога с майка ѝ се чувстваме добре и успява да развали нещата."
"987,52","990,52"," Сигурен съм, че Николай е бил провокиран за да постъпи така."
"993,52","996,52", Три часа по-късно от Велина все още няма и следа.
"996,52","1003,52"," Лиляна няколко пъти обикаля квартала, за да я търси и вече започва да изпада в паника."
"1007,52","1011,52"," Няма я на пейките, няма я при приятелки."
"1011,52","1015,52", Ти как може да го направиш това? Не помисли ли какво може да се случи?
"1015,52","1018,52"," Може да откъде да знам, че е толкова лудът, че да избяга и то боса?"
"1018,52","1021,52"," Момтенце, мери си приказките. Защо го направи?"
"1021,52","1024,52"," Да не мислиш, че аз започнах първи, както винаги тя започна."
"1024,52","1026,52", А защо си я заключил? Не трябваше да я заключиш.
"1026,52","1029,52"," Ако Велина го беше провокировала, то нямаше да я заключи."
"1029,52","1031,52", Отивай да си лягаш.
"1033,52","1037,52"," Мия сега какво да права? Навънка се стъмни, стана студен..."
"1037,52","1040,52"," Сигурен съм, че се появи от някъде. Не се притеснявай."
"1040,52","1043,52"," Сега просто играе с нас, а иска да сме притеснени."
"1043,52","1046,52", Нищо лошо няма да й се случи. Ще видиш.
"1046,52","1048,52"," Ти си мислиш така, нали?"
"1048,52","1050,52", Да се появи. Сигурен съм.
"1050,52","1054,52"," Един приятел дойде на гости да поиграем, но Велина се развика, че иска да гледа телевизия."
"1054,52","1058,52"," По принцип тя си има телевизор в стаята, но реши да гледа в дърната при нас."
"1058,52","1061,52"," Аз я досах, избутех я в стаята и я заключих."
"1062,52","1067,52", Един час по-късно Лиляна и Тодор са извикани по телефона в районното полицейско управление.
"1067,52","1070,52", Велина е открита разплакана на автобусна спирка.
"1070,52","1074,52", В момента с нея разговаря инспектор Озунов от детска педагогическа стая.
"1077,52","1080,52"," Велина, добре ли си, мамо? Знаеш ли как ме притесни?"
"1080,52","1084,52"," Знаеш ли колко се оплаших, миличка? Не дай да правиш повече така."
"1084,52","1086,52"," Погледни, ти се виж на какво приличаш."
"1086,52","1090,52", Здравейте. Инспектор Владимир Озунов. Трябва да поговорим.
"1091,52","1098,52", Колегите са намерили дещеряви оплашана и разплакана без обувки на една спирка.
"1099,52","1103,52"," След като проведохме разговор с нея, установихме, че доведения брат я бил и я турмозил."
"1103,52","1105,52", Това нещо вярно ли е?
"1105,52","1109,52", Това е пълен абсурд. Дори не е вярно. Николай никога не ви посегнал на момиче.
"1109,52","1111,52", Със сигурност служи и си измисля.
"1111,52","1112,52"," Лина, вярно ли е това, мамо?"
"1112,52","1114,52", Остави ме ти си на тяхна страна.
"1114,52","1119,52"," Велина, тук е момента, пред който трябва ти да кажеш на абсолютно всички, това нещо вярно ли е?"
"1119,52","1121,52", Брат ти бил ли те?
"1121,52","1123,52", Нено се държеше гадно с мен.
"1123,52","1126,52"," А защо лъжеш, бе, момиче? Защо така топиш брат ти тука? Това не е детска игра."
"1126,52","1128,52"," Теодоря, престани да ѝ се караш. Не дай да ѝ висиш."
"1128,52","1131,52", Какво значи престани? Омръзна ми от тази лигва. Другата седмица си наказана.
"1131,52","1133,52", Ти първо си си че ще ме наказваш.
"1133,52","1136,52"," Велина, престани, мамо. Каза се приберем от къщи ще оправим нещата."
"1136,52","1139,52"," Не, нека не ми отива. По-добре да седим тука."
"1139,52","1144,52"," Велина, по-добре послушай майка си. Повярвай ми, не искаш да останеш тук."
"1144,52","1147,52", Никак няма да ти хареса. Приберете се в къщи и си поговорете.
"1147,52","1151,52"," Нещо, генерално бъркам. Дъщеря ми не се чувства добре."
"1151,52","1155,52", Ние е комфортно. Постоянно ми подава сигнали.
"1155,52","1158,52", Обаче аз не мога да я разбера.
"1158,52","1163,52", Трябва да оправим нещата за в бъдеще. Това вече не се търпи.
"1166,52","1172,52", Инспекторът от детска педагогическа стая съветва Лиляна да се обърне към комплекс за социални услуги.
"1172,52","1177,52", Там тя и дъщеря й могат безплатно да получат психологическа помощ.
"1177,52","1183,52", Велина обаче отказва да отиде там с майка си и по тази причина Лиляна отива сама.
"1183,52","1186,52", Посреща я психологът Юлия Генчева.
"1189,52","1192,52", Дъщеря ви къде е?
"1192,52","1195,52"," Еми, просто не можах да я доведа. Не искаше да дойде."
"1196,52","1201,52"," Как така? Не искате да ви предварително обясните ли къде идва, за каква?"
"1201,52","1208,52"," Да, обяснила сами с моята приятелка. Се опитахме, но тя изпадна в една истерия. Започва да ни обижда."
"1208,52","1210,52", Често се случва?
"1210,52","1214,52"," Не се случва често, но понякога се случва."
"1214,52","1216,52", Всъщност тя как се казва?
"1216,52","1217,52", Велина Гилкиен.
"1217,52","1224,52"," Ами добре, но трябва понякога... Сигурно има някаква причина. Не може така да се случи."
"1224,52","1230,52"," Следък е станала много раздразнителна. И аз си мисля, че това нещо, както моят приятел..."
"1230,52","1231,52", Поводът.
"1231,52","1242,52"," Да, поводът е приятелът ми дойде да живее с сина си в къщи. И си мисля, че започна вече да ревнува, да се изнервя."
"1242,52","1249,52"," Мин, напълно нормална е нейната реакция, защото тя си същитава територията. Няма как да не се случи."
"1249,52","1253,52"," Ако няма да ви я доведете, аз не мога да дойда във вас. Не мога да я накарам."
"1253,52","1255,52"," Вие сте човека, който трябва да мотивирате да дадете."
"1255,52","1262,52"," Ясно. Аз много пъти даже съм казвала, че я обичам постоянно и го показвам. Държа се много мило с нея."
"1262,52","1269,52"," Тя е всичко за мене на този свят. Дори Теодор Ник и много добре се държат с нея, но тя не показва никакво уважение."
"1269,52","1271,52", Много ужасно се държи с нея.
"1271,52","1278,52"," Няма как. Ние тук работим с родител и случи евелина дъщеряви. Ако не я доведете, аз съм безсилна."
"1278,52","1283,52"," Може да дойдете, когато я убедите. Ще ви чакам, за да ви помагам."
"1283,52","1286,52"," Не мога, иначе няма как отристоя ни да се случи нещо."
"1286,52","1290,52"," Ще направя всичко по силите си, за да мога да я доведа."
"1290,52","1294,52"," Ими, като случай, приятен ден. Задам спаяте."
"1294,52","1296,52", Добър работа ви.
"1296,52","1298,52", Приятен ден.
"1298,52","1307,52"," Разбира майката. Тя е притеснена. Опитва се да помогне на дъщеря си. По думите й тя от тази загриженост личи, че Белина е обгрижвано дете."
"1307,52","1310,52"," Свикнала е да получава всичко, каквото го иска."
"1310,52","1312,52"," Фактът е, че сега има нови членове в семейството."
"1312,52","1313,52", И трябва да го обръща.
"1313,52","1315,52", Трябва да дели дадени неща.
"1315,52","1317,52", Просто да получава по-малко внимание.
"1317,52","1319,52", Това я притеснява.
"1319,52","1321,52", И от тук идва проблема.
"1321,52","1328,52"," Надявам се, по този начин, разговаряки с нея, консултирайки и майката, да се изчистят тези неща и да живеят прекрасно."
"1328,52","1331,52", Очаквах психологската да ми даде някакъв съвет.
"1331,52","1333,52", Тя започна да ми задава някакви въпроси.
"1333,52","1335,52", Защо Белина не е с мен?
"1335,52","1337,52", Защо не съм я довела?
"1337,52","1339,52", Не мога да я доведа по насила.
"1339,52","1341,52"," Ай, не ми се идваше на психолог."
"1341,52","1342,52", Тя Карина ме накара да дойда.
"1342,52","1344,52", Дъщеря ми не е луда.
"1344,52","1346,52", Тя е малко изнервена.
"1346,52","1348,52"," Но мисля, че и сами може да се оправим."
"1350,52","1354,52"," Още на следващия ден, в семейството избухва поредният скандал."
"1354,52","1360,52"," Този път, Белина е взела списанията с Колина Николай, без да го попита."
"1362,52","1364,52", Защо си ми разхвърляла списанията?
"1364,52","1366,52", Защото са пълна скука.
"1366,52","1368,52", Само Колина има вътре.
"1368,52","1370,52", Ти нормална ли си?
"1370,52","1372,52"," Виж, скъсва страницата на любимото ти."
"1372,52","1374,52", Списанията ми.
"1374,52","1376,52", Какво пък толкова една страница?
"1376,52","1378,52", Какво пък толкова?
"1378,52","1380,52", На теб ще ти хареса ли да ти се сипа твоите списанията?
"1380,52","1382,52", Само да не си ги пипнал.
"1382,52","1384,52"," Какво става тука си, а?"
"1384,52","1386,52", Тя ми е се сипала списанията.
"1386,52","1388,52"," Белина, защо си му пипала списанията?"
"1388,52","1390,52", Писна ми от тебе вече.
"1390,52","1392,52"," Ще ти хареса ли на теб, ако направя така?"
"1392,52","1394,52"," Не, не ги пипай, не ми пипай."
"1394,52","1396,52"," Нещо така, не ми пипай, нещо така."
"1396,52","1398,52"," Белина, достани."
"1398,52","1400,52"," Те, опусни дъждкаря ми, не да я биеш."
"1400,52","1402,52", Не се има докосна.
"1402,52","1404,52", Какво става?
"1404,52","1406,52"," Скъсвай списанията ни, Коай, и това става."
"1406,52","1408,52", Голяма работа е ни списания.
"1408,52","1410,52"," Как голяма работа? Знаеш ли, от колко време ги колекцинирам?"
"1410,52","1412,52", Тя е луда.
"1412,52","1414,52", Защо говориш така за да шкеряме?
"1414,52","1416,52"," Виж какво, на мене ми писна вече тази работа, а с тебе не знам."
"1418,52","1420,52", Къде отиваш?
"1420,52","1422,52", Излизам.
"1422,52","1424,52", Наистина в този момент имах нужда
"1424,52","1426,52", от който скъпчи за въздух.
